Economy,Ease of Doing Business Rank,Starting a Business,Dealing with Construction Permits,Getting Electricity,Registering Property,Getting Credit,Protecting Investors,Paying Taxes,Trading Across Borders,Enforcing Contracts,Resolving Insolvency
Singapore,1,3,3,6,28,3,2,5,1,12,4
"Hong Kong SAR, China",2,5,1,5,89,3,3,4,2,9,19
New Zealand,3,1,12,45,2,3,1,23,21,18,12
United States,4,20,34,13,25,3,6,64,22,11,17
Denmark,5,40,8,18,7,28,34,12,8,32,10
Malaysia,6,16,43,21,35,1,4,36,5,30,42
"Korea, Rep.",7,34,18,2,75,13,52,25,3,2,15
Georgia,8,8,2,54,1,3,16,29,43,33,88
Norway,9,53,28,17,10,73,22,17,26,4,2
United Kingdom,10,28,27,74,68,1,10,14,16,56,7
Australia,11,4,10,34,40,3,68,44,46,14,18
Finland,12,55,36,22,26,42,68,21,9,8,3
Iceland,13,52,41,1,12,42,52,37,50,3,11
Sweden,14,61,24,9,38,42,34,41,6,25,20
Ireland,15,12,115,100,57,13,6,6,20,62,8
"Taiwan, China",16,17,7,7,31,73,34,58,18,84,16
Lithuania,17,11,39,75,6,28,68,56,15,17,44
Thailand,18,91,14,12,29,73,12,70,24,22,58
Canada,19,2,116,145,55,28,4,8,45,58,9
Mauritius,20,19,123,48,65,42,12,13,12,54,61
Germany,21,111,12,3,81,28,98,89,14,5,13
Estonia,22,61,38,56,15,42,68,32,7,26,66
United Arab Emirates,23,37,5,4,4,86,98,1,4,100,101
Latvia,24,57,79,83,33,3,68,49,17,21,43
"Macedonia, FYR",25,7,63,76,84,3,16,26,89,95,52
Saudi Arabia,26,84,17,15,14,55,22,3,69,127,106
Japan,27,120,91,26,66,28,16,140,23,36,1
Netherlands,28,14,97,70,47,73,115,28,13,29,5
Switzerland,29,104,58,8,16,28,170,16,35,20,47
Austria,30,138,94,28,36,28,98,79,19,6,14
Portugal,31,32,76,36,30,109,52,81,25,24,23
Rwanda,32,9,85,53,8,13,22,22,162,40,137
Slovenia,33,38,59,32,83,109,14,54,48,52,41
Chile,34,22,101,43,55,55,34,38,40,64,102
