Indicator.Name,X2005..YR2005,X2006..YR2006,X2007..YR2007,X2008..YR2008,X2009..YR2009,X2010..YR2010,X2011..YR2011,X2012..YR2012,X2013..YR2013,Comment,Year
Prevalence of anemia among children (% of children under 5),119,7,1,1,0,1,0,0,0,Use 2005 ,X2005..YR2005
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",0,0,0,190,0,0,0,0,0,Use 2008 data,X2008..YR2008
GEF benefits index for biodiversity (0 = no biodiversity potential to 100 = maximum),199,0,0,205,0,0,0,0,0,Use 2008 data,X2008..YR2008
Scientific and technical journal articles,188,190,190,190,190,0,0,0,0,Use 2009,X2009..YR2009
"Droughts, floods, extreme temperatures (% of population, average 1990-2009)",0,0,0,0,168,0,0,0,0,Use 2009 data,X2009..YR2009
"Point-of-sale terminals (per 100,000 adults)",0,0,0,0,87,0,0,0,0,Moved from red,X2009..YR2009
"Passenger cars (per 1,000 people)",107,113,144,116,110,93,0,0,0,Use 2010,X2010..YR2010
"PM10, country level (micrograms per cubic meter)",179,179,179,179,179,179,0,0,0,Use 2010,X2010..YR2010
Road sector energy consumption (% of total energy consumption),134,134,134,134,134,134,0,0,0,Use 2010,X2010..YR2010
Fertilizer consumption (kilograms per hectare of arable land),157,159,159,159,159,159,0,0,0,Use 2010 data,X2010..YR2010
Fertilizer consumption (% of fertilizer production),77,79,79,78,78,76,0,0,0,Use 2010 data,X2010..YR2010
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",180,0,0,0,0,180,0,0,0,Use 2010 data,X2010..YR2010
"Motor vehicles (per 1,000 people)",104,108,149,111,103,87,0,0,0,"Use 2010, impute from 2008",X2010..YR2010
Road density (km of road per 100 sq. km of land area),88,89,86,91,100,92,0,0,0,"Use 2010, impute from 2009",X2010..YR2010
Access to electricity (% of population),0,0,0,0,87,87,0,0,0,Moved from red,X2010..YR2010
"Roads, paved (% of total roads)",62,63,60,66,74,69,0,0,0,Moved from red,X2010..YR2010
Vehicles (per km of road),64,67,75,68,66,58,0,0,0,Moved from red,X2010..YR2010
"Physicians (per 1,000 people)",41,67,57,67,37,147,24,1,0,"Impute from 2009 to 2010, impute from 2010 to 2001. use 2011 data",X2011..YR2011
"Intentional homicides (per 100,000 people)",125,126,127,180,113,87,19,0,0,"Impute from 2009, 2010 to 2011 and use 2011 data",X2011..YR2011
Electric power consumption (kWh per capita),135,136,136,135,134,134,134,0,0,Use 2011,X2011..YR2011
"Life expectancy at birth, total (years)",199,198,200,200,199,198,197,0,0,Use 2011,X2011..YR2011
Permanent cropland (% of land area),192,194,194,194,194,194,194,0,0,Use 2011,X2011..YR2011
Population density (people per sq. km of land area),213,213,213,213,213,213,213,2,0,Use 2011,X2011..YR2011
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)",0,0,169,0,0,0,168,0,0,use 2011,X2011..YR2011
Average precipitation in depth (mm per year),0,0,179,0,0,0,179,0,0,Use 2011 data,X2011..YR2011
Crop production index (2004-2006 = 100),197,198,198,198,198,198,197,0,0,Use 2011 data,X2011..YR2011
Food production index (2004-2006 = 100),199,200,200,200,200,200,199,0,0,Use 2011 data,X2011..YR2011
"Health expenditure per capita, PPP (constant 2005 international $)",187,187,187,187,187,187,184,0,0,Use 2011 data,X2011..YR2011
"Health expenditure, private (% of GDP)",187,187,187,188,188,188,188,0,0,Use 2011 data,X2011..YR2011
"Health expenditure, total (% of GDP)",187,187,187,188,188,188,188,0,0,Use 2011 data,X2011..YR2011
ICT goods imports (% total goods imports),161,160,161,158,155,149,127,0,0,Use 2011 data,X2011..YR2011
Improved sanitation facilities (% of population with access),198,197,196,192,189,187,182,0,0,Use 2011 data,X2011..YR2011
Improved water source (% of population with access),197,197,196,193,191,190,188,0,0,Use 2011 data,X2011..YR2011
"International tourism, receipts (% of total exports)",166,167,170,169,169,167,144,0,0,Use 2011 data,X2011..YR2011
"Literacy rate, adult total (% of people ages 15 and above)",19,25,32,27,28,35,81,1,0,Use 2011 data,X2011..YR2011
"Literacy rate, youth female (% of females ages 15-24)",19,25,31,27,28,35,80,1,0,Use 2011 data,X2011..YR2011
"Literacy rate, youth total (% of people ages 15-24)",19,25,31,27,28,35,80,1,0,Use 2011 data,X2011..YR2011
Livestock production index (2004-2006 = 100),198,199,199,199,199,199,198,0,0,Use 2011 data,X2011..YR2011
Net barter terms of trade index (2000 = 100),196,196,196,196,196,196,197,0,0,Use 2011 data,X2011..YR2011
Out-of-pocket health expenditure (% of private expenditure on health),187,187,187,188,188,188,188,0,0,Use 2011 data,X2011..YR2011
Out-of-pocket health expenditure (% of total expenditure on health),187,187,187,188,188,188,188,0,0,Use 2011 data,X2011..YR2011
Renewable internal freshwater resources per capita (cubic meters),0,0,178,0,0,0,176,0,0,Use 2011 data,X2011..YR2011
