Indicator.Name,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,Comment
"Agricultural machinery, tractors per 100 sq. km of arable land",60,48,41,26,8,0,0,0,0,Remove
Average time to clear exports through customs (days),39,37,18,8,48,35,6,3,2,Remove
Battle-related deaths (number of people),23,25,25,27,26,25,31,0,0,Remove
(%) Benefits held by 1st 20% population - All Social Safety Nets,9,9,14,16,7,3,0,0,0,Remove
Child employment in agriculture (% of economically active children ages 7-14),9,8,14,8,12,5,6,0,0,Remove
"Community health workers (per 1,000 people)",2,3,4,12,5,7,1,0,0,Remove
Contraceptive prevalence (% of women ages 15-49),41,61,34,27,24,32,15,0,0,Remove
Delay in obtaining an electrical connection (days),36,40,18,8,51,35,6,3,2,Remove
Emigration rate of tertiary educated (% of total tertiary educated population),0,0,0,0,0,0,0,0,0,Remove
Female headed households (% of households with a female head),18,22,16,11,10,9,4,0,0,Remove
Firms competing against unregistered firms (% of firms),0,30,14,8,53,35,6,3,2,Remove
Firms using banks to finance investment (% of firms),39,40,18,8,54,35,6,3,2,Remove
Firms with female participation in ownership (% of firms),36,37,17,8,54,35,6,3,2,Remove
Firms with female top manager (% of firms),0,0,2,7,43,35,6,3,2,Remove
(%) Generosity of All Social Safety Nets,9,9,14,16,7,3,0,0,0,Remove
GINI index,47,46,44,49,42,35,10,1,0,Remove
Income share held by fourth 20%,47,46,43,49,41,35,10,1,0,Remove
Income share held by highest 10%,47,46,44,49,41,35,10,1,0,Remove
Income share held by highest 20%,47,46,44,49,41,35,10,1,0,Remove
Income share held by lowest 10%,47,46,44,49,41,35,10,1,0,Remove
Income share held by lowest 20%,47,46,44,49,41,35,10,1,0,Remove
Income share held by second 20%,47,46,43,49,41,35,10,1,0,Remove
Income share held by third 20%,47,46,43,49,41,35,10,1,0,Remove
Informal payments to public officials (% of firms),38,38,17,8,54,35,6,3,2,Remove
"Losses due to theft, robbery, vandalism, and arson (% sales)",39,40,17,8,54,35,6,3,2,Remove
Low-birthweight babies (% of births),45,54,42,32,24,22,9,0,0,Remove
Organic water pollutant (BOD) emissions (kg per day),69,65,32,0,0,0,0,0,0,Remove
Population living in areas where elevation is below 5 meters (% of total population),0,0,0,0,0,0,0,0,0,Remove
Poverty gap at $2 a day (PPP) (%),47,47,44,47,42,35,10,1,0,Remove
Pregnant women receiving prenatal care (%),41,60,47,32,28,33,15,0,0,Remove
Prevalence of overweight (% of children under 5),33,45,25,21,18,22,15,8,0,Remove
(%) Program participation - All Social Safety Nets,10,12,16,17,10,3,0,0,0,Remove
Researchers in R&D (per million people),69,65,72,68,61,35,0,0,0,Remove
"Roads, goods transported (million ton-km)",53,55,55,57,59,55,0,0,0,Remove
Taxes on exports (% of tax revenue),32,36,34,37,32,33,32,2,0,Remove
Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),15,14,14,13,13,9,4,0,0,Remove
Use of insecticide-treated bed nets (% of under-5 population),10,23,10,10,13,19,8,0,0,Remove
CPIA business regulatory environment rating (1=low to 6=high),76,78,75,75,77,77,78,80,0,Remove
CPIA economic management cluster average (1=low to 6=high),76,78,75,75,77,77,78,80,0,Remove
CPIA efficiency of revenue mobilization rating (1=low to 6=high),76,78,75,75,77,77,78,80,0,Remove
CPIA financial sector rating (1=low to 6=high),76,78,75,75,77,77,78,80,0,Remove
CPIA property rights and rule-based governance rating (1=low to 6=high),76,78,75,75,77,77,78,80,0,Remove
CPIA trade rating (1=low to 6=high),76,78,75,75,77,77,78,80,0,Remove
