"","Indicator.Name","Indicator.Description","priority100","priority101","priority102","priority103","priority104","priority105","priority106","priority107","priority108","priority109","priority110","priority111","priority112","priority113","priority114","priority115"
"1","AG.LND.CROP.ZS","Permanent cropland (% of land area)",0,-0.008186463,0.031824855,0,0,0,0,0.053150916,0.037426587,0,0.083876149,-0.022327656,-0.096227772,-0.014666408,-0.013488122,0.075815024
"2","AG.LND.PRCP.MM","Average precipitation in depth (mm per year)",0,0,-0.133058541,0,0,0,0,0,-0.078617333,0,0.141382241,0.030578512,-0.169226897,-0.053198871,0,0
"3","AG.PRD.FOOD.XD","Food production index (2004-2006 = 100)",-0.02175844,0,0,0,0,0,0,0.072237903,0.103926759,-0.062437488,0,0,0,0,0,-0.020082484
"4","AG.PRD.LVSK.XD","Livestock production index (2004-2006 = 100)",-0.003300151,0,0,0,0,0,-0.002989482,0.088269236,0.016854356,0,-0.03896578,0,0,0,0,0.026553854
"5","BX.KLT.DINV.WD.GD.ZS","Foreign direct investment, net inflows (% of GDP)",0,0.136218549,-8.6e-05,0,0.024648692,0.051762984,-0.033092178,0,0,-0.009688566,0,-0.029852879,-0.047923834,-0.031094376,-0.002002647,0.053104695
"6","CM.MKT.TRNR","Stocks traded, turnover ratio (%)",0,0,0,0,0,0,0.003304405,0,0,-0.055491841,0,-0.036505407,0.11242822,0.010663374,0,-0.009330179
"7","DT.INT.DECT.EX.ZS","Interest payments on external debt (% of exports of goods, services and primary income)",0,-0.017573971,0,-0.045710452,0,0,0.170107201,-0.015557965,0,-0.019683391,0.004506338,0.043941727,0,0,0,0
"8","EG.ELC.ACCS.ZS","Access to electricity (% of population)",0,0,0,-0.003747144,0,0,0.017849101,-0.001901291,-0.024262147,0,0.020243777,0.11116633,0,0,0,0
"9","EG.GDP.PUSE.KO.PP","GDP per unit of energy use (PPP $ per kg of oil equivalent)",0.054237363,-0.084049674,0,0.0123561,-0.023051258,0,0,-0.033794418,0,0,0.028586318,-0.0485591,0.047328922,0.077224158,0.084051897,-0.066647953
"10","EG.USE.COMM.CL.ZS","Alternative and nuclear energy (% of total energy use)",0.004541325,0,0,0.011372455,-0.0426748,0,0,0,0,0,0,-0.079319048,0.019165725,0,0.135449028,-0.024418618
"11","EG.USE.PCAP.KG.OE","Energy use (kg of oil equivalent per capita)",0,0,0,0,-0.037587953,0,0,0,0,0,0,-0.011266913,0.014322714,0,0.114760872,-0.011502244
"12","EN.ATM.PM10.MC.M3","PM10, country level (micrograms per cubic meter)",0,0,0.067514758,0,0,0,0,-0.030460838,0.024384063,0.022883054,0,-0.032940685,0,0,0,-0.075131261
"13","EN.BIR.THRD.NO","Bird species, threatened",0,0,-0.007608056,0,0,3.37e-05,0,-0.027343158,-0.030351789,0.021685076,0.122068608,0,-0.035211266,0,-0.016011182,-0.024070551
"14","EN.CLC.DRSK.XQ","Disaster risk reduction progress score (1-5 scale; 5=best)",0,0,0.033231552,0,-0.001875316,0,0,0.079910252,0,0.036965099,-0.01048447,-0.005235671,0,0.012370271,0,0
"15","FB.ATM.TOTL.P5","Automated teller machines (ATMs) (per 100,000 adults)",0,0,0,0,0,0,0.093128084,-0.014883075,0,0.030363555,0.042431013,0,0,0,0,-0.091079092
"16","FB.CBK.DPTR.P3","Depositors with commercial banks (per 1,000 adults)",0,0,0,0,0,0,0.04004888,0,0.024354297,0,0,0.055245661,-0.021460099,0,-0.062042896,0
"17","FP.CPI.TOTL","Consumer price index (2005 = 100)",-0.017525141,0,0.05015828,0,0,0,0,0.118148889,0,0,0,0,0.013912566,0,-0.022133199,0
"18","FR.INR.DPST","Deposit interest rate (%)",0,0,0,0,0,-0.020428136,0.0495381,0,0.037899454,0,0,0,0.066445986,0,-0.002137302,0
"19","FR.INR.LEND","Lending interest rate (%)",0,0,0,0,0,0,0,-0.027019041,-0.043387208,0,0,0.107466773,-0.05694156,-0.008406025,-0.040588826,0.012957535
"20","IQ.CPA.MACR.XQ","CPIA macroeconomic management rating (1=low to 6=high)",0,0,0,0,0.083769386,0.027783957,0,-0.003326239,-0.030685549,0,0,0.016600122,0,-0.129496557,0,0.019004713
"21","IQ.CPA.STRC.XQ","CPIA structural policies cluster average (1=low to 6=high)",0,0,0,-0.009582983,0.062791275,0,0,0,0,0,0,0.011230244,0.009023418,-0.002101205,-0.027208072,0.048657766
"22","IS.ROD.ENGY.ZS","Road sector energy consumption (% of total energy consumption)",0.014461084,-0.07816703,0,0,-0.037510063,0,0,0,0,0,0.011494826,0.059903548,-0.037779512,0,0.144430621,0
"23","IT.MLT.MAIN.P2","Telephone lines (per 100 people)",0.065432055,-0.024110078,0,0,-0.07655825,-0.033315246,0,-0.060379711,0,0.029331031,0.054004001,0.039634839,0.03563684,0.080843275,0,-0.100367254
"24","IT.NET.BBND.P2","Fixed broadband Internet subscribers (per 100 people)",0.095704099,-0.058284699,-0.056085552,0.030250751,-0.036211848,0,0,-0.095749262,-0.009462921,0,0.088870884,0.017348454,0.02453553,0.086752822,0,-0.093298113
"25","IT.NET.SECR.P6","Secure Internet servers (per 1 million people)",0.059924329,-0.004975053,0,0.058674685,-0.134019259,0,0,-0.003534279,0,0,0.006936571,0,0.071649715,0.07181766,0.061797631,-0.087937152
"26","LP.LPI.INFR.XQ","Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high)",0.012118437,0,0,0.093153327,0,0,0,-0.063066344,0,0.025872994,0,-0.036389328,0,0,0,-0.022161445
"27","MS.MIL.XPND.GD.ZS","Military expenditure (% of GDP)",-0.041259576,0.061246323,0.079235922,0,0,0,0,0,0,-0.07957432,-0.02048834,0,0.039383328,0,0,0
"28","NV.IND.TOTL.ZS","Industry, value added (% of GDP)",-0.000761829,0.08098093,0,-0.041000928,0,0,0,0,0,-0.017811327,0,0.024746901,0,0,-0.062924012,0.012383811
"29","NY.GDP.DEFL.KD.ZG","Inflation, GDP deflator (annual %)",-0.054273521,0,0,0,0,0,0,0,0,-0.091055255,0,0.010786286,0.076055796,0,-0.048810549,-0.030145162
"30","NY.GDP.PCAP.CD","GDP per capita (current US$)",0.114168509,-0.015097235,-0.041598898,0.145527992,-0.08035138,0,0,-0.031916716,-0.027365993,0,0.003523087,-0.018088606,0.062728165,0.065227418,0.015720372,-0.135680895
"31","NY.GDP.PCAP.KD.ZG","GDP per capita growth (annual %)",0,0.091325003,0,-0.059428785,0,0,-0.003837648,0,0.095792503,-0.070775231,0,-0.029461325,0.041169388,0,0,0
"32","SH.MED.BEDS.ZS","Hospital beds (per 1,000 people)",0.057926868,-0.046581471,-0.02591968,0,0,0,0.009556815,0,-0.043543341,0.085860595,0.052732677,-0.048383996,0.022731175,0,-0.028036623,-0.033481435
"33","SH.STA.ACSN","Improved sanitation facilities (% of population with access)",0,-0.009755971,0,0,0,0,0,0,0.001218083,-0.006088227,0,0,0.072595603,0.025898878,0,-0.002526999
"34","SH.STA.MMRT","Maternal mortality ratio (modeled estimate, per 100,000 live births)",0,0,0,0.115670132,0,0.050038609,0,0,0,0.036506911,-0.064023609,-0.032162383,0,-0.024315156,0,-0.02732026
"35","SH.XPD.OOPC.TO.ZS","Out-of-pocket health expenditure (% of total expenditure on health)",-0.03761504,0,0.108695793,-0.046528562,0,0,0,0.011824821,0.037395364,0,0,0,0.01343097,0,-0.040063758,0.021354636
"36","SH.XPD.PCAP.PP.KD","Health expenditure per capita, PPP (constant 2005 international $)",0.1181025,-0.03860189,-0.031903224,0.0423663,-0.074943569,0,0,-0.005558085,-0.019161522,0.00393654,0.030218771,-0.03919608,0.037616921,0.069628319,0.0393282,-0.123926022
"37","SH.XPD.PRIV.ZS","Health expenditure, private (% of GDP)",-0.104722288,0.08013844,7.2e-05,0,0.063114426,0,0,0,0,0,-0.068139935,0,-0.025708037,-0.06934494,-0.067151571,0.101370769
"38","SH.XPD.TOTL.ZS","Health expenditure, total (% of GDP)",0,0,0,0.079407807,0,0,0,-0.058132891,-0.023161419,0.004811503,0,-0.014172319,0,0,0,0
"39","SL.EMP.1524.SP.ZS","Employment to population ratio, ages 15-24, total (%)",0.069501673,-0.030695037,-0.042884902,0.087471407,0,0,0,0,-0.011922395,0.012629007,0.085568492,0,0,0,0.097866516,-0.143160152
"40","SL.TLF.ACTI.1524.ZS","Labor force participation rate, total (% of total population ages 15-24)",0.073711799,-0.067267992,-0.089851144,0.051450683,0,0,0,-0.025771469,-0.054833488,0.091114986,0.007278287,0,0,0,0.008740643,-0.081119966
"41","SL.TLF.ACTI.MA.ZS","Labor force participation rate, male (% of male population ages 15-64)",0.021125654,-0.144287466,0,0,-0.027214731,0,0,0,0,0.125869635,0.019229868,0.062761388,0,0,0,0
"42","SL.TLF.CACT.FM.ZS","Ratio of female to male labor force participation rate (%)",0,0,-0.169239829,0.028762078,0.082312709,0,0,0,-0.098646166,0,0,-0.038806886,0,0,0,0
"43","SL.UEM.TOTL.ZS","Unemployment, total (% of total labor force)",0,0,0,0,0,0,0,-0.025527958,0,0,0,0,0,0,0,0.098980151
"44","SN.ITK.DEFC.ZS","Prevalence of undernourishment (% of population)",0,0,0,0,0,0,0,0,0,0,0,-0.052520102,0,0.097355334,0.042283999,0
"45","SP.DYN.LE00.IN","Life expectancy at birth, total (years)",0.073103562,-0.00315893,0,0,-0.03412597,0,0,0,-0.013148709,0,0.085079473,0,0,0.000231197,0.090705199,0
"46","SP.POP.65UP.TO.ZS","Population ages 65 and above (% of total)",0.069847991,-0.049357502,-0.014997706,0,0,0,0,0,-0.019472007,0,0.118147327,0,0.068377407,0.06612044,0,-0.031651491
"47","ST.INT.RCPT.XP.ZS","International tourism, receipts (% of total exports)",0,-0.019805977,0,0,0,0,0,0,-0.065691595,0,-0.033775917,0,0,0,0.099043646,0.049364417
"48","TT.PRI.MRCH.XD.WD","Net barter terms of trade index (2000 = 100)",-0.067299259,0.043559376,0,-0.029054978,0.003611649,0,0,0.113116386,0,0,0,0.024882071,0,0,-0.05844001,0
"49","TX.VAL.FUEL.ZS.UN","Fuel exports (% of merchandise exports)",0,-0.021853259,0,-0.057439469,0,0,0,0.002438673,0,0,0,0.118597244,0.017005129,0.077807153,0,0.00177281
"50","VC.IHR.PSRC.P5","Intentional homicides (per 100,000 people)",0,-0.051619593,0,0,0,0.055705844,0,-0.068075847,-0.096923205,0.04264581,0.036875362,0.197098683,-0.120502801,-0.052230547,0.016758425,0
"51","StartingBusiness.Time","StartingBusiness.Time",-0.037414609,0,0,0,0,0.058852519,0,0,-0.088451337,0,0,0.040905392,0,0.015508411,0,0
"52","Getting.Electricity.Time","Getting.Electricity.Time",-0.030553892,0.114985672,-0.046329566,0,0.047131185,0,0.030148292,0,0,-0.135451749,0,0,0,-0.064017776,-0.035731809,0
