,coeffsum,IndicatorWidth,priority100,priority101,priority102,priority103,priority104,priority105,priority106,priority107,priority108,priority109,priority110,priority111,priority112,priority113,priority114,priority115
1,0.282093531,0.017357551,0,0,0.031824855,0,0,0,0,0.053150916,0.037426587,0,0.083876149,0,0,0,0,0.075815024
2,0.171960753,0.01058095,0,0,0,0,0,0,0,0,0,0,0.141382241,0.030578512,0,0,0,0
3,0.176164662,0.010839622,0,0,0,0,0,0,0,0.072237903,0.103926759,0,0,0,0,0,0,0
4,0.131677446,0.00810227,0,0,0,0,0,0,0,0.088269236,0.016854356,0,0,0,0,0,0,0.026553854
5,0.26573492,0.016350986,0,0.136218549,0,0,0.024648692,0.051762984,0,0,0,0,0,0,0,0,0,0.053104695
6,0.126395999,0.007777296,0,0,0,0,0,0,0.003304405,0,0,0,0,0,0.11242822,0.010663374,0,0
7,0.218555266,0.013447966,0,0,0,0,0,0,0.170107201,0,0,0,0.004506338,0.043941727,0,0,0,0
8,0.149259208,0.009184097,0,0,0,0,0,0,0.017849101,0,0,0,0.020243777,0.11116633,0,0,0,0
9,0.303784758,0.018692238,0.054237363,0,0,0.0123561,0,0,0,0,0,0,0.028586318,0,0.047328922,0.077224158,0.084051897,0
10,0.170528533,0.010492824,0.004541325,0,0,0.011372455,0,0,0,0,0,0,0,0,0.019165725,0,0.135449028,0
11,0.129083586,0.007942667,0,0,0,0,0,0,0,0,0,0,0,0,0.014322714,0,0.114760872,0
12,0.114781875,0.007062666,0,0,0.067514758,0,0,0,0,0,0.024384063,0.022883054,0,0,0,0,0,0
13,0.143787384,0.008847409,0,0,0,0,0,3.37E-05,0,0,0,0.021685076,0.122068608,0,0,0,0,0
14,0.162477174,0.009997414,0,0,0.033231552,0,0,0,0,0.079910252,0,0.036965099,0,0,0,0.012370271,0,0
15,0.165922652,0.010209418,0,0,0,0,0,0,0.093128084,0,0,0.030363555,0.042431013,0,0,0,0,0
16,0.119648838,0.007362136,0,0,0,0,0,0,0.04004888,0,0.024354297,0,0,0.055245661,0,0,0,0
17,0.182219735,0.011212197,0,0,0.05015828,0,0,0,0,0.118148889,0,0,0,0,0.013912566,0,0,0
18,0.15388354,0.009468638,0,0,0,0,0,0,0.0495381,0,0.037899454,0,0,0,0.066445986,0,0,0
19,0.120424308,0.007409851,0,0,0,0,0,0,0,0,0,0,0,0.107466773,0,0,0,0.012957535
20,0.147158178,0.009054818,0,0,0,0,0.083769386,0.027783957,0,0,0,0,0,0.016600122,0,0,0,0.019004713
21,0.131702703,0.008103824,0,0,0,0,0.062791275,0,0,0,0,0,0,0.011230244,0.009023418,0,0,0.048657766
22,0.230290079,0.014170023,0.014461084,0,0,0,0,0,0,0,0,0,0.011494826,0.059903548,0,0,0.144430621,0
23,0.304882041,0.018759755,0.065432055,0,0,0,0,0,0,0,0,0.029331031,0.054004001,0.039634839,0.03563684,0.080843275,0,0
24,0.34346254,0.021133659,0.095704099,0,0,0.030250751,0,0,0,0,0,0,0.088870884,0.017348454,0.02453553,0.086752822,0,0
25,0.330800591,0.020354554,0.059924329,0,0,0.058674685,0,0,0,0,0,0,0.006936571,0,0.071649715,0.07181766,0.061797631,0
26,0.131144758,0.008069493,0.012118437,0,0,0.093153327,0,0,0,0,0,0.025872994,0,0,0,0,0,0
27,0.179865573,0.011067343,0,0.061246323,0.079235922,0,0,0,0,0,0,0,0,0,0.039383328,0,0,0
28,0.118111642,0.00726755,0,0.08098093,0,0,0,0,0,0,0,0,0,0.024746901,0,0,0,0.012383811
29,0.086842082,0.005343497,0,0,0,0,0,0,0,0,0,0,0,0.010786286,0.076055796,0,0,0
30,0.406895543,0.025036768,0.114168509,0,0,0.145527992,0,0,0,0,0,0,0.003523087,0,0.062728165,0.065227418,0.015720372,0
31,0.228286894,0.014046765,0,0.091325003,0,0,0,0,0,0,0.095792503,0,0,0,0.041169388,0,0,0
