"","prioritycode","Indicator","coeff"
"1",100,"Health expenditure per capita, PPP (constant 2005 international $)",0.1181025
"2",100,"GDP per capita (current US$)",0.114168509
"3",100,"Fixed broadband Internet subscribers (per 100 people)",0.095704099
"4",100,"Labor force participation rate, total (% of total population ages 15-24)",0.073711799
"5",100,"Life expectancy at birth, total (years)",0.073103562
"6",100,"Health expenditure, private (% of GDP)",-0.104722288
"7",100,"Trading.Across.Borders.Documents.to.import",-0.069746229
"8",100,"Net barter terms of trade index (2000 = 100)",-0.067299259
"9",100,"Inflation, GDP deflator (annual %)",-0.054273521
"10",100,"Trading.Across.Borders.Rank",-0.043966893
"11",101,"Foreign direct investment, net inflows (% of GDP)",0.136218549
"12",101,"Getting.Electricity.Time",0.114985672
"13",101,"Trading.Across.Borders.Documents.to.import",0.10131002
"14",101,"GDP per capita growth (annual %)",0.091325003
"15",101,"Industry, value added (% of GDP)",0.08098093
"16",101,"Proportion of seats held by women in national parliaments (%)",-0.145815654
"17",101,"Labor force participation rate, male (% of male population ages 15-64)",-0.144287466
"18",101,"Commercial bank branches (per 100,000 adults)",-0.101846848
"19",101,"GDP per unit of energy use (PPP $ per kg of oil equivalent)",-0.084049674
"20",101,"Road sector energy consumption (% of total energy consumption)",-0.07816703
"21",102,"Enforcing.Contracts.Procedures",0.12561925
"22",102,"Out-of-pocket health expenditure (% of total expenditure on health)",0.108695793
"23",102,"Trading.Across.Borders.Documents.to.import",0.098267878
"24",102,"Military expenditure (% of GDP)",0.079235922
"25",102,"PM10, country level (micrograms per cubic meter)",0.067514758
"26",102,"Ratio of female to male labor force participation rate (%)",-0.169239829
"27",102,"Average precipitation in depth (mm per year)",-0.133058541
"28",102,"Labor force participation rate, total (% of total population ages 15-24)",-0.089851144
"29",102,"Terrestrial and marine protected areas (% of total territorial area)",-0.066656146
"30",102,"Fixed broadband Internet subscribers (per 100 people)",-0.056085552
"31",103,"GDP per capita (current US$)",0.145527992
"32",103,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",0.115670132
"33",103,"Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high)",0.093153327
"34",103,"Employment to population ratio, ages 15-24, total (%)",0.087471407
"35",103,"Health expenditure, total (% of GDP)",0.079407807
"36",103,"Out-of-pocket health expenditure (% of private expenditure on health)",-0.16142064
"37",103,"Population ages 15-64 (% of total)",-0.135682778
"38",103,"Primary completion rate, female (% of relevant age group)",-0.069595822
"39",103,"Manufacturing, value added (% of GDP)",-0.06707745
"40",103,"Primary completion rate, total (% of relevant age group)",-0.066738445
