"","x"
"1",0.282093531
"2",0.171960753
"3",0.176164662
"4",0.131677446
"5",0.26573492
"6",0.126395999
"7",0.218555266
"8",0.149259208
"9",0.303784758
"10",0.170528533
"11",0.129083586
"12",0.114781875
"13",0.143787384
"14",0.162477174
"15",0.165922652
"16",0.119648838
"17",0.182219735
"18",0.15388354
"19",0.120424308
"20",0.147158178
"21",0.131702703
"22",0.230290079
"23",0.304882041
"24",0.34346254
"25",0.330800591
"26",0.131144758
"27",0.179865573
"28",0.118111642
"29",0.086842082
"30",0.406895543
"31",0.228286894
"32",0.22880813
"33",0.099712564
"34",0.202215652
"35",0.192701584
"36",0.341197551
"37",0.244695635
"38",0.08421931
"39",0.353037095
"40",0.232296398
"41",0.228986545
"42",0.111074787
"43",0.098980151
"44",0.139639333
"45",0.249119431
"46",0.322493165
"47",0.148408063
"48",0.185169482
"49",0.217621009
"50",0.349084124
"51",0.115266322
"52",0.192265149
"53",0.126595623
"54",0.350772932
"55",0.167916499
"56",0.135099865
"57",0.305072394
"58",0.150206498
"59",0.158686911
"60",0.08529019
"61",0.214098614
"62",0.131972392
"63",0.098409851
