"","priority","Indicator","coeff"
"1",100,"Health expenditure per capita, PPP (constant 2005 international $)",0.1181025
"2",100,"GDP per capita (current US$)",0.114168509
"3",100,"Fixed broadband Internet subscribers (per 100 people)",0.095704099
"4",100,"Labor force participation rate, total (% of total population ages 15-24)",0.073711799
"5",100,"Life expectancy at birth, total (years)",0.073103562
"6",100,"Population ages 65 and above (% of total)",0.069847991
"7",100,"Employment to population ratio, ages 15-24, total (%)",0.069501673
"8",100,"Telephone lines (per 100 people)",0.065432055
"9",100,"Secure Internet servers (per 1 million people)",0.059924329
"10",100,"Hospital beds (per 1,000 people)",0.057926868
"11",100,"Health expenditure, private (% of GDP)",-0.104722288
"12",100,"Trading.Across.Borders.Documents.to.import",-0.069746229
"13",100,"Net barter terms of trade index (2000 = 100)",-0.067299259
"14",100,"Inflation, GDP deflator (annual %)",-0.054273521
"15",100,"Trading.Across.Borders.Rank",-0.043966893
"16",100,"Military expenditure (% of GDP)",-0.041259576
"17",100,"Taxes on goods and services (% of revenue)",-0.038784356
"18",100,"Taxes on income, profits and capital gains (% of revenue)",-0.038310014
"19",100,"Out-of-pocket health expenditure (% of total expenditure on health)",-0.03761504
"20",100,"StartingBusiness.Time",-0.037414609
"21",101,"Foreign direct investment, net inflows (% of GDP)",0.136218549
"22",101,"Getting.Electricity.Time",0.114985672
"23",101,"Trading.Across.Borders.Documents.to.import",0.10131002
"24",101,"GDP per capita growth (annual %)",0.091325003
"25",101,"Industry, value added (% of GDP)",0.08098093
"26",101,"Health expenditure, private (% of GDP)",0.08013844
"27",101,"Mammal species, threatened",0.073730161
"28",101,"Military expenditure (% of GDP)",0.061246323
"29",101,"Net barter terms of trade index (2000 = 100)",0.043559376
"30",101,"Vehicles (per km of road)",0.042490078
"31",101,"Proportion of seats held by women in national parliaments (%)",-0.145815654
"32",101,"Labor force participation rate, male (% of male population ages 15-64)",-0.144287466
"33",101,"Commercial bank branches (per 100,000 adults)",-0.101846848
"34",101,"GDP per unit of energy use (PPP $ per kg of oil equivalent)",-0.084049674
"35",101,"Road sector energy consumption (% of total energy consumption)",-0.07816703
"36",101,"Labor force participation rate, total (% of total population ages 15-24)",-0.067267992
"37",101,"Protecting.Investors.Ease.of.shareholder.suits.index",-0.064783554
"38",101,"Fossil fuel energy consumption (% of total)",-0.060379917
"39",101,"Fixed broadband Internet subscribers (per 100 people)",-0.058284699
"40",101,"Logistics performance index: Efficiency of customs clearance process (1=low to 5=high)",-0.052142658
"41",102,"Enforcing.Contracts.Procedures",0.12561925
